Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/1/2021 0:00,0,Out of BH,0,0,1,0,1,0,1,0,0,0,0,0,,,0,0,,0,
1/1/2021 0:00,0,Out of BH,0,0,2,0,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 1:00,0,Out of BH,2,0,3,2,1,0,0,0,0,1,0,0,,,1,0,,0,
1/1/2021 1:00,0,Out of BH,2,0,4,2,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 2:00,0,Out of BH,4,0,5,4,2,0,0,0,1,1,0,0,,,1,0,,0,
1/1/2021 2:30,0,Out of BH,5,0,6,5,4,0,2,0,1,1,0,0,,,1,0,,0,
1/1/2021 2:30,0,Out of BH,5,0,7,5,2,0,0,0,2,0,0,,,,0,0,,0,
1/1/2021 6:00,0,Out of BH,12,0,8,12,1,0,0,0,0,1,0,,,,0,0,,0,
1/1/2021 6:00,0,Out of BH,12,0,9,12,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 7:30,0,Out of BH,15,0,10,15,1,0,0,0,0,1,0,0,,,1,0,,0,
1/1/2021 7:30,0,Out of BH,15,0,11,15,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 8:00,0,Business Hours,16,0,12,16,1,0,1,0,0,0,0,0,,,0,0,,0,
1/1/2021 8:00,0,Business Hours,16,0,13,16,1,0,0,0,1,0,0,,,,0,0,,0,
1/1/2021 8:30,0,Business Hours,17,0,14,17,3,0,2,0,0,1,0,0,,,1,0,,0,
1/1/2021 8:30,0,Business Hours,17,0,15,17,3,0,0,0,3,0,0,,,,0,0,,0,
1/1/2021 9:00,1,Business Hours,18,71,16,18,2,0,0,0,0,2,0,35.5,0.5,0.5,2,2,321,0,
1/1/2021 9:00,6,Business Hours,18,41,17,18,6,12,0,0,0,6,0,10.25,1,1,4,4,316,11,78.73
1/1/2021 9:30,1,Business Hours,19,12,18,19,1,0,0,0,0,1,0,12,1,1,1,1,275,0,
1/1/2021 9:30,3,Business Hours,19,43,19,19,3,2,0,0,0,3,0,14.33,1,0.67,3,3,179,2,187.5
1/1/2021 10:00,2,Business Hours,20,22,20,20,2,1,0,0,0,2,0,11,1,1,2,2,492,1,271
1/1/2021 10:00,1,Business Hours,20,7,21,20,1,0,0,0,0,1,0,7,1,1,1,1,217,0,
1/1/2021 10:30,6,Business Hours,21,62,22,21,6,0,0,0,0,6,0,12.4,1,1,5,5,216,0,
1/1/2021 11:00,3,Business Hours,22,7,23,22,3,0,0,0,0,3,0,7,1,1,1,1,106,0,
1/1/2021 11:00,1,Business Hours,22,11,24,22,1,0,0,0,0,1,0,11,1,1,1,1,235,0,
1/1/2021 11:30,4,Business Hours,23,38,25,23,4,0,0,0,0,4,0,9.5,1,1,4,4,228,0,
1/1/2021 11:30,1,Business Hours,23,8,26,23,1,0,0,0,0,1,0,8,1,1,1,1,278,0,
1/1/2021 12:00,5,Business Hours,24,26,27,24,5,0,0,0,0,5,0,8.67,1,1,3,3,262,0,
1/1/2021 12:30,3,Business Hours,25,25,28,25,3,0,0,0,0,3,0,8.33,1,1,3,3,247,0,
1/1/2021 13:00,5,Business Hours,26,56,29,26,6,0,0,1,0,5,0,11.2,1,1,5,5,241,0,
1/1/2021 13:30,2,Business Hours,27,30,30,27,2,0,0,0,0,2,0,15,1,1,2,2,222,0,
1/1/2021 14:00,4,Business Hours,28,21,31,28,4,0,0,0,0,4,0,7,1,1,3,3,278,0,
1/1/2021 14:30,8,Business Hours,29,45,32,29,8,0,0,0,0,8,0,11.25,1,1,4,4,125,0,
1/1/2021 15:00,5,Business Hours,30,62,33,30,5,0,0,0,0,5,0,12.4,1,1,5,5,240,0,
